Ime bitke ali vojne,Datum
American Revolutionary War,1.januar
American Civil War,1.januar
Cristero War,1.januar
World War II,1.januar
Cold War,1.januar
War between India and Pakistan,1.januar
American Revolutionary War,2.januar
Northwest Indian War,2.januar
Uruguayan War,2.januar
World War II,2.januar
civilian awards,2.januar
Vietnam War,2.januar
Sri Lankan Civil War,2.januar
Battle of Princeton,3.januar
American Civil War,3.januar
Franco-Prussian War,3.januar
Sino-French War,3.januar
First Balkan War,3.januar
World War II,3.januar
George Woolf Memorial Jockey Award,3.januar
Cold War,3.januar
Angolan War of Independence,3.januar
Battle of Ruspina,4.januar
Battle of Reading,4.januar
Seven Years' War,4.januar
Russo-Turkish War (1877–78),4.januar
Sino-French War,4.januar
World War II,4.januar
Korean War,4.januar
Battle of Nancy,5.januar
Battle of Colmar,5.januar
American Revolutionary War,5.januar
John Edward Redmond,5.januar
First Balkan War,5.januar
1991–92 South Ossetia War,5.januar
Somali Civil War,5.januar
dwarf planet Eris,5.januar
Edward the Confessor,6.januar
Granada War,6.januar
Arauco War,6.januar
Battle of Jersey,6.januar
Napoleonic Wars,6.januar
Second Boer War,6.januar
Korean War,6.januar
Vietnam War,6.januar
Broward County,6.januar
Battle of Bhopal,7.januar
Winter War,7.januar
Howard Johnson's,7.januar
Third Indochina War,7.januar
Bosnian War,7.januar
Battle of Blaauwberg,8.januar
War of 1812,8.januar
American Civil War,8.januar
World War I,8.januar
World War II,8.januar
Finnish War Criminal Court,8.januar
War on Poverty,8.januar
Jin–Song Wars,9.januar
Battle of Barari Ghat,9.januar
Russo-Turkish War of 1787–92,9.januar
Napoleonic Wars,9.januar
American Civil War,9.januar
Howard University,9.januar
World War I,9.januar
Battle of Rafa,9.januar
American Indian Wars,9.januar
Ukrainian War of Independence,9.januar
Greco-Turkish War,9.januar
World War II,9.januar
First Chechen War,9.januar
Second Sudanese Civil War,9.januar
civil war,10.januar
Battle of Vaslui,10.januar
Northwest Indian War,10.januar
American Civil War,10.januar
World War I,10.januar
World War II,10.januar
Indo-Pakistani War of 1965,10.januar
Salvadoran Civil War,10.januar
